sample	type	index	index2	index3
BC07LN_84	SC	nonTumor	Immune	Bcell
BC07LN_86	SC	Tumor	Tumor	Tumor
BC07LN_89	SC	nonTumor	Immune	Bcell
BC07LN_90	SC	nonTumor	Immune	Tcell
BC07LN_91	SC	Tumor	Tumor	Tumor
BC07LN_94	SC	nonTumor	Immune	Bcell
BC07LN_95	SC	Tumor	Tumor	Tumor
BC07LN_96	SC	nonTumor	Immune	Bcell
BC07LN_Pooled	Bulk	nonTumor	Immune	Immune
BC03_03	SC	nonTumor	Immune	Tcell
BC03_06	SC	nonTumor	Immune	Bcell
BC03_09	SC	Tumor	Tumor	Tumor
BC03_11	SC	Tumor	Tumor	Tumor
BC03_13	SC	Tumor	Tumor	Tumor
BC03_16	SC	Tumor	Tumor	Tumor
BC03_17	SC	Tumor	Tumor	Tumor
BC03_19	SC	Tumor	Tumor	Tumor
BC03_20	SC	Tumor	Tumor	Tumor
BC03_21	SC	Tumor	Tumor	Tumor
BC03_23	SC	Tumor	Tumor	Tumor
BC03_24	SC	nonTumor	Immune	Bcell
BC03_25	SC	nonTumor	Immune	Tcell
BC03_26	SC	Tumor	Tumor	Tumor
BC03_28	SC	nonTumor	Immune	Bcell
BC03_29	SC	Tumor	Tumor	Tumor
BC03_35	SC	Tumor	Tumor	Tumor
BC03_37	SC	Tumor	Tumor	Tumor
BC03_41	SC	Tumor	Tumor	Tumor
BC03_43	SC	Tumor	Tumor	Tumor
BC03_50	SC	nonTumor	Immune	Tcell
BC03_53	SC	nonTumor	Immune	Bcell
BC03_57	SC	nonTumor	Immune	Tcell
BC03_58	SC	nonTumor	Immune	Tcell
BC03_60	SC	nonTumor	Immune	Bcell
